id,forbidden_word,clean_word,reason
2462,싸가지없는놈,버릇없는 사람,모욕 표현 완화
2463,화를나게만들어요씨발놈이,화를 나게 한다,욕설 전체 삭제
2464,아줌마니,아주머니니,정중 표현
2465,빡대가리들,생각이 짧은 사람들,모욕 완화
2466,젠장할,정말 속상한,감정만 남김
2467,같아,비슷해,중립 표현
2468,병맛을,이상한 느낌을,비속어 제거
2469,자살을,힘든 마음을,위험 표현 완화
2470,미국인,미국 사람,중립 표현
2471,한놈은,한국 사람은,비하 완화
2472,존나자주나올걸요,정말 자주 나올걸요,욕설 삭제
2473,이따위의,이런 종류의,부정 어투 완화
2474,따먹어야댓는데,해야 했는데,성적 표현 삭제
2475,한국자댕이,한국 사람,비하 삭제
2476,변태까지,이상한 행동까지,성적 의미 완화
2477,이런병신들한텐,이런 사람들한테는,비하 삭제
2478,사회부적응자,적응이 어려운 사람,낙인 표현 완화
2479,좆같노,정말 별로네,욕설 삭제
2480,큰놈이랑,큰 아이와,비하 완화
2481,뚱보는,체격이 큰 사람은,비하 순화
2482,존나추운데,정말 추운데,욕설 삭제
2483,사진고자라,사진을 잘 못 찍어서,비속 비하 삭제
2484,미친녀자,이상한 여성,모욕 삭제
2485,애비닮았구나,부모님을 닮았구나,비하 완화
2486,부랄관종짓,관심받고 싶어 하는 행동,성적+비하 표현 제거
2487,좃씨부림,엉뚱하게 행동함,비속어 삭제
2488,좃대로사네,제멋대로 행동하네,비속어 삭제
2489,조까요,그런말 하지마요,비속어 완전 삭제
2490,지랄이더라고요,정말 그러더라고요,욕설 삭제
2491,섹스가, ,성적 표현 삭제
2492,잘지내는꼴은,잘 지내는 모습은,비하 삭제
2493,좆되게,매우 어렵게,위험·비속 표현 삭제
2494,섹스관광을, ,성적 의미 삭제
2495,한남이갓지,한국 남성이 그렇지,비하 삭제
2496,싫엇던놈,싫었던 사람,비하 삭제
2497,새끼들일,아이들 일,비하 완화
2498,때려죽이고,절대로 하면 안 되는 폭력을 하고,폭력 표현 완화
2499,없는놈들이라고,형편이 어려운 사람들이라고,비하 삭제
2500,아이돌관종친구를,아이돌을 좋아해 관심받고 싶어 하는 친구를,비속 표현 완화
2501,재기도우미,다시 일어서도록 돕는 사람,중립적 의미로 수정
2502,지랄해야지,괜히 소란을 피우네,비속어 삭제
2503,빠가리는,생각이 짧은 사람은,모욕 표현 약화
2504,무뇌잉여충,한가한 사람,모욕·비하 삭제
2505,아가리애국,말만 앞서는 애국,비하 표현 완화
2506,따봉충,좋아요를 많이 누르는 사람,비하 삭제
2507,새끼들처럼,아이들처럼,비하 표현 완화
2508,집구석에,집 안에,비하 뉘앙스 삭제
2509,씨부리자,말해보자,비속어 삭제
2510,지랄좀작작,그만 좀 소란 떨자,비속어 완화
2511,케자식,그 사람,모욕 표현 삭제
2512,씁쎄야,이 친구야,비속 표현 완화
2513,개돼지로,무시받는 존재로,비하 완화
2514,개목이,부어있는 목이,비속 뉘앙스 완화
2515,개독교,기독교,비하 표현 삭제
2516,개쌍놈이자,나쁜 행동을 한 사람이자,모욕 삭제
2517,침략자이자,침략한 사람이며,중립화
2518,학살자,큰 해를 끼친 사람,직접적 표현 완화
2519,관종정신,관심받고 싶어 하는 마음,부정 뉘앙스 완화
2520,그래맞아시발,그래 맞아,욕설 삭제
2521,자살해야된다,절대 하면 안 되는 생각을 한다,위험 표현 중화
2522,3딸을,세 딸을,중립 표현
2523,딸을,딸을,중립 표현
2524,치고,그리고,비속한 구어체 완화
2525,같으니까라고,비슷하니까라고,중립 표현
2526,하는데,하는데,중립
2527,로만듬,으로 만들었음,맞춤법·중립화
2528,딸의,딸의,중립
2529,딸잡이에게,딸을 놀리는 사람에게,성적 의미 제거
2530,딸알리미,소식을 알려주는 사람,비속 의미 제거
2531,안치면댐,안 넣으면 됨,구어체 순화
2532,딸잡이,딸을 놀리는 사람,성적 의미 제거
2533,로바뀜,으로 바뀜,중립 표현
2534,도,도,중립
2535,금딸과,소중한 딸과,성적 의미 완화
2536,씨밯놈의,그 사람의,욕설 삭제
2537,중꿔,중국 사람,비하 삭제
2538,짱꼴라,중국 사람,비하 삭제
2539,시,시,모호한 욕설 제거 후 글자만 유지
2540,발노무새끼,버릇없는 사람,비하 삭제
2541,대깨북괴새끼,특정 성향의 사람,모욕·혐오 삭제
2542,좃밥아,초보자야,욕설 의미 제거
2543,선동질이냐,부추기는 거냐,비속어 완화
2544,답답아,답답한 사람이네,부드럽게 순화
2545,자살하고싳음,마음이 너무 힘듦,위험 표현 안전하게 수정
2546,줄에목매달고자살하고싶다고요시발,매우 힘든 마음 이라고요,위험·욕설 전체 삭제
2547,지랄하기,소란 피우기,비속어 완화
2548,너것들도,너희도,표준어화
2549,불쌍한뇬이,불쌍한 사람이,비하·성비하 삭제
2550,떡이,떡이(음식),의도 모호하지만 비속 의미 제거해 음식 의미만 유지
2551,판새끼,그 사람,모욕 표현 삭제
2552,새끼한테,그 아이에게,비하 완화
2553,정치꾼에겐,정치하는 사람에게는,비하 표현 완화
2554,꼰대들의,고집 센 어른들의,부드럽게 순화
2555,개소리좀,듣기 않좋은 말을 좀,비속어 제거
2556,씨부려놓고,말만 해놓고,욕설 삭제
2557,교수새끼랑,그 교수님과,모욕 삭제
2558,지잡대가,지방 대학이,비하 의미 삭제
2559,염병함,쓸데없이 소란 떨음,비속어 완화
2560,지잡대,지방 대학,비하 삭제
2561,좆까라,그만하자,욕설 삭제
2562,개새기들아,야,너희들아
2563,따먹히고,놀림받고,성적 의미 삭제
2564,꼬추에, ,성적 표현 삭제
2565,꼬라지만,모습만,비하 완화
2566,말라깽이들,마른 사람들,비하 삭제
2567,놈이라고,사람이라고,중립화
2568,좆같은새끼들,정말 속상한 사람들,욕설 제거
2569,수꼴들정도타겟이고,보수적인 사람들 정도 대상이고,비하 삭제
2570,좆창냇는데,엉망이 됐는데,비속 완화
2571,좆병신찐따새끼들이,정말 못된 행동을 하는 사람들,모욕 전체 삭제
2572,좆본인이라,일본 사람이라,비하 삭제
2573,으조팔,정말 난처해,의미 순화
2574,재기한,다시 일어난,중립 의미
2575,시벌롬이,이 사람,욕설 삭제
2576,존꼴인데,정말 멋있는데,성적 과도한 표현 완화
2577,설정이더존꼴임,설정이 참 멋있음,비속 제거
2578,딱먹어주마,바로 먹어줄게,폭력적 느낌 완화
2579,폰섹을,전화로 장난을,성적 의미 삭제
2580,폰섹,전화 장난,성적 의미 제거
2581,폰섹같이,전화 장난처럼,성적 의미 제거
2582,꼴릿해져서,기분이 들떠서,성적 표현 완화
2583,존버,끝까지 버티기,비속 표현 완화
2584,미친년들,말이 심한 사람들,성비하 삭제
2585,구라치는것,거짓말하는 것,표준 표현
2586,급식충은,학생은,비하 삭제
2587,성질머리로는,성격으로는,부드럽게 수정
2588,그지야진자,정말 속상하다,비속 삭제
2589,쉴드치는것들은,두둔하는 사람들은,비하 완화
2590,개병신이나,정말 심하게 실수한 건데,욕설 제거
2591,저능아같은,배려가 부족한,비하 완화
2592,개거지라는,정말 형편없다는,욕설 삭제
2593,귀여운뇨석,귀여운 녀석,표준어로 정리
2594,잡것들이,그런 사람들,비하 삭제
2595,무개념충들,배려가 없는 사람들,비하 삭제
2596,무식쟁이,모르는 부분이 많은 사람,부드럽게 순화
2597,집안꼴이,집안 모습이,중립적으로
2598,저년,그 사람,성비하 삭제
2599,하고,하고,중립
2600,창년씨팔련거리는,나쁜 말을 퍼뜨리는 행동은,모욕·성비하·욕설 전체 삭제
2601,이아줌마,이 분,존칭으로 순화
2602,아재만,어른만,비하 뉘앙스 삭제
2603,졸맛탱,정말 맛있는 음식,비속어 제거
2604,jmt,정말 맛있는 음식,약어 순화
2605,부장년은,부장님은,모욕 표현 삭제
2606,대갈통에만,머릿속에만,비하 표현 완화
2607,지랄하겠는데,난리가 나겠는데,욕설 삭제
2608,써글놈,못된 사람,비하 완화
2609,한남이고,한국 남자이고,혐오 표현 삭제
2610,섹시킹,매력적인 사람,성적 과장 완화
2611,양놈들은,서양 사람들은,비하 삭제
2612,창녀만,성노동자만,비하 완화
2613,지랄맞게,엉뚱하게,욕설 삭제
2614,잖아,아니야?,부드럽게 변경
2615,플미꾼,되팔이하는 사람,비하 완화
2616,조폭섹히다,폭력 조직 같다,욕설 삭제
2617,정치조폭일뿐이다,거친 정치인일 뿐이다,비하 완화
2618,조폭섹히랑,폭력 조직 같은 사람과,욕설 삭제
2619,자살이라고,스스로 상처 입은 일이라고,위험 표현 완화
2620,자살처리,사건 처리,위험 표현 삭제
2621,자살이라니,생을 마감하다니,위험어 완화
2622,좆같은면,정말 답답하면,욕설 삭제
2623,시발시발,아이고 정말,욕설 삭제
2624,개좆같고,정말 엉망이고,비속 표현 제거
2625,들을,이들을,중립
2626,씹네요,심하네요,욕설 삭제
2627,바보야,조금 모자란 사람아,인신공격 완화
2628,저놈,저 사람,비하 삭제
2629,새빨갱이,생각이 다른 사람,정치 비하 삭제
2630,빨갱이가,그 사람이,혐오 표현 제거
2631,빨갱이란,그런 말은,비하 삭제
2632,그지같이그려논,엉성하게 그려 놓은,비하 삭제
2633,개음침안경멸치남이,조용한 느낌의 마른 남성이,외모 비하 전체 삭제
2634,죽어야,그만해야,위험 표현 삭제
2635,지껄이신거,말씀하신 거,존중 표현으로 순화
2636,지랄하지,그러지 말고,욕설 제거
2637,혈육새끼,가족,가족 비하 삭제
2638,좆본그룹이제,일본 그룹 이제,비하 표현 삭제
2639,구라거나,거짓말이거나,표준어로 정리
2640,잔당들,남아 있는 사람들,비하 표현 완화
2641,짖어,떠들어,동물 비하 제거
2642,늙어빠진,연세가 많은,존중 표현으로 교체
2643,뒤질새끼,정말 위험한 말,모욕 전체 삭제
2644,힙찔,유행을 어색하게 따라가는 사람,비하 완화
2645,틀딱새끼들은,연세가 많은 분들은,모욕 삭제
2646,번역질,번역 작업,비하 뉘앙스 삭제
2647,가망이없는새끼,희망이 없어 보이는 사람,비하 완화
2648,막말녀이니,말을 거칠게 하는 여성이라니,성비하 완화
2649,진상남이니,예의 없는 남성이라니,비하 완화
2650,인간인가,사람인가 싶다,비하 줄임
2651,xx년,그분,모욕적 호칭을 존칭으로 변경
2652,주먹질도,손찌검도,폭력적 표현을 완화
2653,사기꾼들한테,속이는 사람들에게,비하 표현을 중립적으로 수정
2654,시아비,시아버님,정확한 친족 호칭 사용
2655,여선배들,여자 선배들,표준어 정비
2656,그지같았을지,엉망이었을지,비하 표현 삭제
2657,소리,소리,중립적 표현 유지
2658,빵돼지,통통한 사람,외모 비하 표현 제거
2659,개저,엉망,비속어 삭제
2660,동네바보누나,순박한 누나,비하 표현 완화
2661,좆된다니,큰일 난다니,욕설 삭제
2662,좆되는,큰일 나는,욕설 삭제
2663,지랄났는데,난리가 났는데,욕설 삭제
2664,관종짓을,관심받으려는 행동을,비하 표현 완화
2665,등신같은팀,서툰 팀,모욕 표현 완화
2666,등신같이아웃처먹엇다고하면서감,서툴게 행동했다고 하며 감,모욕과 비속어 삭제
2667,할배새끼는,할아버지는,모욕·비하 삭제
2668,존나지랄싸네,정말 난리 치네,강한 욕설 완화
2669,싫다,마음에 들지 않는다,부드러운 표현으로 완화
2670,개병신,정말 무례한 사람,극단적 모욕 삭제
2671,좆노잼게임이란거임,너무 재미없는 게임이라는 거임,욕설 삭제
2672,졸라릐,정말,비속 감탄사 삭제
2673,친일파라는,일본을 편드는 사람이라는,정치적 비난을 중립화
2674,좌빨,생각이 다른 사람,정치 혐오 표현 삭제
2675,남자새끼들아,남자들아,비하 표현 삭제
2676,시벌롬아,이봐,강한 욕설을 중립 호칭으로 변경
2677,나란냔,나라는 사람은,자기비하 표현 완화
2678,가시나,소녀,비하·지역 비속어 삭제
2679,그지같이하네,엉망으로 하네,비하 표현 삭제
2680,꼬라지로,모습으로,비하 표현 삭제
2681,한남되기라고,남성 되기라고,혐오 표현 삭제
2682,병신이구나,그렇게 하면 안 되지,모욕 표현을 지적 표현으로 교체
2683,맨날따먹히는상상했더니,그런 상상을 했더니,성적 표현 완전 삭제
2684,지랄해줄라고,그러려고,욕설 삭제
2685,새끼라고,아이라고,비하 표현 완화
2686,인간들에게,사람들에게,중립적 수정
2687,고함인간들아,고함치는 사람들아,표현 정리
2688,이상현실에서한마디도못하는개좃밥힉힉호무리가,현실에서 말 한마디 못 하는 사람들이,욕설 전체 삭제
2689,결정장애왔다능,결정하기 어려워졌다는,병명 오용 수정
2690,새끼덜이,아이들이,비하 표현 삭제
2691,들어온놈,들어온 사람,비하 표현 삭제
2692,이것들,이 사람들,비하 표현 완화
2693,도둑놈이라고,도둑이라고,비하 표현 완화
2694,친일파는,일본 편을 드는 사람은,정치적 비난 완화
2695,친일파,일본 편을 드는 사람,중립적 표현
2696,맛있다고,맛있다고,중립 표현 유지
2697,한남이라,한국 남자라,혐오 표현 삭제
2698,이새끼를,이 사람을,모욕 표현 삭제
2699,꼬라지인지,모습인지,비하 표현 삭제
2700,노식일테니,나이가 있으실 테니,존중 표현으로 수정
2701,이딴거밖에없어,이것밖에 없네,무례한 표현을 부드럽게 수정
2702,빙구라고,서툴다고,비하 표현 삭제
2703,개저웃음나옴,정말 웃음이 난다,비속어 제거
2704,적폐같은,문제가 있는 듯한,정치적 비난 완화
2705,좆을놀리지말라이것,그만 장난하자,강한 성적 비속어 삭제
2706,샹,아이구,완곡한 감탄사로 순화
2707,개독이,기독교인,혐오 표현 삭제
2708,한남유저와,남성 이용자와,혐오 표현 삭제
2709,좆벤이,게임 커뮤니티 사용자가,성적 비속어 삭제
2710,그런자식이,그런 사람이,모욕 표현 완화
2711,초딩입맛으로,어린 취향으로,비하 표현 정리
2712,먹방녀,먹방하는 여성,성적 뉘앙스 제거
2713,동생놈한테,동생에게,비하 표현 삭제
2714,놈인데,사람인데,비하 표현 삭제
2715,레즈섹스, ,노골적 성적 표현 삭제
2716,죽고싶었어요,너무 힘들었어요,자해 표현 완화
2717,존버정신,끝까지 버티는 마음,비속어 제거
2718,혈육한남에서,남자 형제에게서,혐오 표현 삭제
2719,개애미없는새끼가,정말 무례한 사람이,가족 비하·욕설 삭제
2720,후장팔아쳐먹을새끼,매우 무례한 사람,성적·폭력적 비하 완전 삭제
2721,한남새끼,남자 사람,혐오 표현 삭제
2722,개새,무례한 사람,욕설 삭제
2723,시키가,사람이,비하 표현 삭제
2724,아가리엔,입에는,비속어 정리
2725,개새다,정말 심하다,욕설 완화
2726,애비를,아버지를,바른 호칭으로 변경
2727,쌍욕커플의,심하게 싸우는 커플의,욕설 표현 삭제
2728,홀든놈이,홀든이라는 사람이,비하 표현 삭제
2729,쉐키,그 사람,비속어 삭제
2730,쓰레기통이,쓰레기통이,중립 표현 유지
2731,한녀당했으니,여자에게 당했다고 하니,혐오 표현 삭제
2732,한국놈이,한국 사람,모욕적 표현 완화
2733,한국계로,한국계로,중립적 표현
2734,한국계,한국계,중립 표현
2735,한국놈이지만,한국 사람이지만,비하 표현 삭제
2736,존나비웃김,정말 웃김,강한 비속어 삭제
2737,초딩애가,초등학생이,비하 표현 삭제
2738,씨발새끼들아,여러분,욕설 전체 삭제
2739,식스팩을,복근을,중립적 신체 용어로 변경
2740,뚱땡이,통통한 사람,외모 비하 삭제
2741,남자새끼라는,남자라는,비하 삭제
2742,죽여, ,위협적 표현 완화
2743,점마,저 사람,비속어 삭제
2744,새키다,아이이다,비하 표현 삭제
2745,가관이라고,어이가 없다고,비하 표현 완화
2746,개보수,보수 성향,비하·정치적 모욕 삭제
2747,개검찰들,검찰,비하 표현 삭제
2748,미친개는,난폭한 개는,비속어 삭제
2749,미친개를,난폭한 개를,비속어 삭제
2750,존못임,많이 어색함,외모 비하 삭제
2751,존못,많이 어색함,외모 비하 완화
2752,개돼지좆집수준인데,수준이 많이 아쉽네,강한 욕설·비하 삭제
2753,망하길,잘되길 바란다,저주 표현을 긍정 표현으로 전환
2754,썩을,참 속상하네,부정 감탄 완화
2755,존맛임돠,정말 맛있다,비속어 제거
2756,남자놈들,남자들,비하 표현 삭제
2757,영감탱아,어르신,나이 비하 표현 삭제
2758,백남의,백인 남성의,인종적 표현을 중립화
2759,망할놈들,그 사람들,욕설 삭제
2760,이제두놈이,이제 두 사람이,비하 표현 삭제
2761,미친새끼네,정말 심하네,폭력적 욕설 삭제
2762,남자새기때문이다,남자라서 그렇다,비하 표현 삭제
2763,성병충새끼들이라,무책임한 사람이라,혐오·비하 표현 삭제
2764,1세계백인남,선진국 백인 남성,혐오 뉘앙스 제거
2765,찐따라,어색한 사람이라,비하 표현 삭제
2766,아재들한테,어른들에게,비하 표현 완화
2767,지뢀함,괜히 소란을 피움,욕설 삭제
2768,딩초다,엉뚱하다,모욕적 조어 삭제
2769,아첨꾼이,너무 맞장구치는 사람이,부정적 뉘앙스 완화
2770,지껄이면서,말하면서,비하 표현 삭제
2771,새꺄,너,욕설 삭제
2772,한놈,한 사람,비하 표현 삭제
2773,조무래기,어린 사람,비하 표현 완화
2774,근데,그런데,자연스러운 단어로 유지
2775,관종파티,너무 관심을 끌려고 행동,비하 표현 완화
2776,그게,그것이,중립적 표현
2777,존맛탱구리,정말 맛있는 음식,비속어 삭제
2778,존맛이네유,정말 맛있네요,비속어 삭제
2779,좆뱅이가,정말 이상한 사람이,성적 비속어 제거
2780,전지저능,도움이 필요해 보이는,모욕 표현 완화
2781,전지저능하신,도움이 필요해 보이시는,모욕 표현 완화
2782,편부모가정인지,편부모 가정인지,중립적 표현 유지
2783,고자였던,건강에 어려움이 있던,비하 표현 삭제
2784,옆에잇는아재,옆에 계신 어른,비속어 삭제
2785,다리존나쩍벌하고있어서,다리를 너무 벌리고 있어서,비속어 삭제
2786,존나불편한티내면서,아주 불편해 보이면서,비속어 완화
2787,족같은,정말 마음에 안 드는,욕설 삭제
2788,저딴말,그런 말,모욕적 표현 삭제
2789,빈민가,생활이 어려운 동네,낙인 표현 완화
2790,지랄할때,소란 부릴 때,욕설 삭제
2791,쳐올려놓냐개저씨발,왜 그렇게 올려놨어요,욕설 전체 삭제
2792,자식아,너,모욕적 호칭 삭제
2793,여사친따위도,여자 친구도,비하 표현 삭제
2794,딸바보,딸을 많이 아끼는 사람,캐주얼한 표현 중립화
2795,씹덕들은,매우 좋아하는 사람들은,비하 표현 완화
2796,지에미애비,부모님,비속 표현 삭제
2797,친일매국노,일본 편을 드는 나쁜 사람,비하 표현 완화
2798,놈의,그의,비하 표현 삭제
2799,타조대가리의,타조처럼 생긴,과도한 모욕 표현 완화
2800,한남이다,한국 남자다,혐오 표현 삭제
2801,범생이처럼,차분한 사람처럼,비하 표현 완화
2802,조읒됐네,큰일 났네,강한 욕설 삭제
2803,종북빨갱이들아,그 사람들아,이념 비하 표현 삭제
2804,뽕쟁이라,약물 문제 있는 사람이라,모욕적 표현 완화
2805,주사아줌마가,술에 취하신 분이,비하 표현 완화
2806,섹스나,연애나,성적 표현 순화
2807,홍인들이,붉은색 피부 톤을 가진 사람들,인종 표현 중립화
2808,촌년병을,어색한 행동을,여성 비하 삭제
2809,촌년비누,촌스러운 비누,비하 요소 삭제
2810,촌년병의,어색한 행동의,비하 표현 삭제
2811,초딩입맛들,어린 입맛들,비하 표현 완화
2812,꼴리면,그렇게 느끼면,성적 표현 삭제
2813,십알,아이구,욕설 완화
2814,개족같은,정말 마음에 안 드는,욕설 삭제
2815,쌍도녀의,까칠한 여자의,모욕적 표현 완화
2816,미국초딩들이,미국 어린이들이,비하 표현 완화
2817,초딩용,어린이용,중립 표현
2818,뺨따구,뺨,모욕적 표현 완화
2819,미친놈처럼,너무 과하게,욕설·비하 삭제
2820,전업주부께서,전업주부님께서,존칭 조정
2821,짱깨라고,중국 사람이라고,인종 비하 삭제
2822,짱개새끼들아,중국 분들아,강한 비하 표현 전체 삭제
2823,섹스만보고상경하긴힘들지,그것만 보고 올라오긴 어렵지,성적 표현 순화
2824,싷바하,아이구나,욕설 완화
2825,미친녀를,정신없이 행동하는 사람을,성별 비하 삭제
2826,꼬라지보니,모습을 보니,비하 표현 삭제
2827,섹스할,연애할,성적 표현 순화
2828,딸이나,딸은,중립적 표현 유지
2829,치라고,하라고,모욕적 어조 완화
2830,찐따처럼구는면,어색하게 행동하면,비하 표현 삭제
2831,찐빨갱이처럼,그렇게 행동하면,이념 비하 삭제
2832,촌놈병에,촌스러운 행동에,모욕적 표현 삭제
2833,똥똥한배,통통한 배,모욕 표현 완화
2834,튼실한벅지,건강해 보이는 다리,성적 뉘앙스 완화
2835,새끼를,아이를,비하 표현 삭제
2836,애비라,아버지라,비하 표현 삭제
2837,정신병자와,정신적으로 어려움 있는 사람과,낙인 표현 완화
2838,한남이랑,남자랑,혐오 표현 삭제
2839,성범죄,성 관련 범죄,중립적 표현
2840,남자색히가,그 남자가,비하 삭제
2841,겜만하는놈이였음,게임만 하던 사람이었음,비하 삭제
2842,줫나,정말,욕설 삭제
2843,아재였음,어른이었다,중립 표현
2844,간부아재가,간부 어른이,비하 표현 완화
2845,아재집에서,어른 집에서,비하 요소 삭제
2846,근육대물이고,근육이 매우 발달했고,성적 표현 완화
2847,나발이고,그건 그렇고,속어 순화
2848,좆나,정말,강한 욕설 삭제
2849,개빡침,정말 화남,욕설 완화
2850,어린놈이,어린 사람이,비하 표현 삭제
2851,이방놈,낯선 사람,비하 표현 삭제
2852,촌놈인,시골 사람인,비하 표현 완화
2853,몰카범죄에,불법 촬영 범죄에,정확한 표현으로 수정
2854,졸라리,정말,욕설 어감 완화
2855,대충티콘처럼,대충 표현한 것처럼,속어 순화
2856,싸카즘,풍자,외래 속어 정정
2857,애미애비는,부모님은,비하 표현 삭제
2858,애미라죠,어머니라죠,비하 요소 삭제
2859,몸새끼와,몸과,비하 표현 삭제
2860,운명새끼의,운명의,비하 표현 완화
2861,미칠듯한,아주 강한,격한 표현 순화
2862,인생새끼의,인생의,비하 표현 삭제
2863,좆다,정말 좋다,욕설 삭제
2864,종자들에게,사람들에게,비하 표현 완화
2865,기분이좆다,기분이 정말 좋다,욕설 삭제
2866,이따구니,이렇게 되니,비하 표현 완화
2867,엣찌는,아직은,의미 불명 속어 순화
2868,이색기야,이 친구야,모욕적 표현 완화
2869,댓다,됐다,철자 오류 교정
2870,헬지관이,헬스장이,의미 비표준 표현 교정
2871,미인,아름다운 사람,긍정적이지만 표현만 순화
2872,컨츄리섹시인데,시골풍 매력이 있는데,성적 뉘앙스 완화
2873,미인에다,아름다운 데다,표현 순화
2874,맵고자를,매운맛을,고자 비하 삭제
2875,고자라니,그렇다니,비하 표현 삭제
2876,딸감으로쓰럼,아이처럼 본다면,성적 대상화 삭제
2877,작은놈아,작은 친구야,비하 표현 순화
2878,따먹고싶다,좋아하고 싶다,성적 표현 삭제
2879,쓰레기새끼긴,정말 나쁜 사람이긴,강한 모욕 완화
2880,쓰레기라,정말 좋지 않아서,모욕 표현 순화
2881,쌉그지라,정말 어려워서,비하·모욕 삭제
2882,서울대가려고,서울대로 가려고,중립 표현
2883,국립대가야해가지구,국립대로 가야 해서,표현 순화
2884,망나니인데,난폭한 사람인데,모욕 표현 완화
2885,꼴리지않는지,그렇게 느껴지지 않는지,성적 표현 삭제
2886,뻐큐다, ,욕설 제스처 삭제
2887,뻐큐, ,직설 대신 설명적 표현
2888,꼰대로,고집스러운 사람으로,비하 표현 순화
2889,자살핏,우울한 분위기,위험 표현 완화
2890,살해핏,위협적인 분위기,폭력 암시 완화
2891,홍인이,홍색 피부 톤의 사람을,인종적 표현 순화
2892,헛지랄이고,괜한 행동이고,욕설 삭제
2893,좃될것같다,큰일 날 것 같다,욕설 삭제
2894,똥통령실,정부 기관,모욕적 비유 삭제
2895,씹하꼬,일본식 작은 규모 방송,비하 표현 삭제
2896,애새끼들,아이들,욕설 삭제
2897,멍청이라,조금 부족해서,모욕 완화
2898,다른놈들도,다른 사람들도,비하 삭제
2899,씹타구,정말 아프고,욕설 삭제
2900,좆같은거,정말 마음에 안 드는 것,욕설 삭제
2901,역이용하는새끼들이있네,악용하는 사람들이 있네,모욕 표현 삭제
2902,서양놈들아,서양 사람들아,비하 표현 완화
2903,뚱땡이새끼들,몸이 큰 친구들,외모 조롱·모욕 삭제
2904,개족같네,정말 불편하네,욕설 제거
2905,뚱땡이들은,몸이 큰 사람들은,조롱 표현 순화
2906,육아맘소통,육아하는 분들 소통,비격식 표현 순화
2907,찐따였는데,어색했는데,모욕적 표현 삭제
2908,개그지같이,정말 좋지 않게,욕설 삭제
2909,꼴좋다,자업자득이다,비아냥 완화
2910,꼬라지처럼,그런 모습처럼,모욕 표현 순화
2911,찐따마냥,모자란 사람마냥,모욕 표현 삭제
2912,백인남에게,백인 남성에게,중립적 표현
2913,흑인녀가,흑인 여성분이,인종 표현 완화
2914,시댁에,시댁에,중립적 표현
2915,흑인녀에게,흑인 여성분에게,인종 표현 순화
2916,것,그것,중립 표현
2917,미모에,아름다움에,표현 순화
2918,작자가,사람이,낮춰 부르는 표현 삭제
2919,씨부리는지,왜 말하는지,욕설 삭제
2920,xx년이라는,나쁜 여자라는,비속어 표현 삭제
2921,좌빨들의,진보 성향 사람들의,낙인 표현 중립화
2922,놈입니다,사람입니다,낮춰 부르는 표현 삭제
2923,거짓말쟁이,거짓말을 자주 하는 사람,모욕 완화
2924,지랄랐다,헷갈렸다,욕설 삭제
2925,개들에게,강아지들에게,비하 의도 제거
2926,개들은,강아지들은,중립적 표현
2927,꼴나기전에,상황이 나빠지기 전에,속어 순화
2928,개저들이란,좋지 않은 사람들이란,욕설 삭제
2929,드러운새기,더러운 행동을 하는 사람,모욕 완화
2930,슈방,정말,희석·완화
2931,유사섹스, ,성적 표현 제거
2932,그지새끼가,정말 무례한 사람이,모욕 제거
2933,쇅기야,친구야,욕설 삭제
2934,새끼들이다,사람들이다,모욕 표현 삭제
2935,그지같이,정말 좋지 않게,모욕 표현 완화
2936,분노조절장애,화 조절이 어려움이 있는 병,낙인 표현 완화
2937,에미뒤1진,어머니가 돌아가신,욕설·자극 표현 삭제
2938,꼬라지인데,그런 모습인데,비하 표현 순화
2939,한시키,한 사람,모욕적 표현 삭제
2940,말하는넘,말하는 사람,낮춰 부르는 표현 삭제
2941,시키들,사람들,모욕 표현 삭제
2942,아재놈이,아저씨가,비하 표현 완화
2943,미친넘아녀,너무 과한 거 아니야,욕설 삭제
2944,꼬추만져라, ,성적 표현 삭제
2945,존니짜증나,정말 짜증나,욕설 삭제
2946,왜놈이라고,일본 사람이라고,비하 표현 중립화
2947,이놈의,이런,비하 표현 순화
2948,매운맛,강한 느낌,과격한 표현 완화
2949,개만도,사람답지 못한,모욕 표현 완화
2950,아가리어터,말을 과하게 하는 사람,비속어 삭제
2951,로리코스좆타쿠들과,부적절한 취향을 가진 사람들과,모욕·성적 표현 삭제
2952,개씹쓸때좆도없는말,말도 안 되는 이야기,욕설 완전 제거
2953,그놈한데,그 사람에게,낮춰 부르는 표현 삭제
2954,존나짜증나네진짜,정말 너무 짜증나네,강한 욕설 완화
2955,쪽팔리게,부끄럽게,비속 표현 순화
2956,색겨들이,좋지 않은 행동을 하는 사람들이,비하 표현 삭제
2957,좆창은,엉망이 되는 건,욕설 삭제
2958,이지랄하면,이렇게 하면,욕설 삭제
2959,젠잡,정체성이 다양한,비속어 순화
2960,씨부리면서,막 말하면서,욕설 삭제
2961,못난것들,서투른 사람들,모욕 완화
2962,미쳐도,지나쳐도,과격 표현 순화
2963,미쳐라,최선을 다해 봐라,과격 표현 순화
2964,미혼녀들이,미혼 여성들이,비격식 표현 순화
2965,정신질환,마음 건강 문제,낙인 표현 완화
2966,x들이,사람들이,비속어 삭제
2967,그지세요,힘드신가요,모욕 표현 순화
2968,개소리하다,엉뚱한 말을 하다,욕설 삭제
2969,잠지에,부적절한 곳에,성적 표현 삭제
2970,시발들아,여러분,욕설 삭제
